OBJECTID,KHETNAME,KHETCODE,SROKCODE,KHUMCODE,KHUMNAME,SROKNAME,Perimet,Area,Ha,headwork,history,health,irripro,pagoda,school,canal,building,FAM19,MAL19,FEM19,FAM17,MAL17,FEM17,vilage_n,settel_h,orchard,crop,paddy_h,urban_h,srok,khum,khet,para,area_1,hect,lat,long,lat1,long1
"1358",Siemreap,"17","1709","170904",Kampong Phluk,Prasat Bakong,45839.875577,104856312.171000,10485.631217,1.000000,0.000000,1.000000,2.000000,1.000000,2.000000,2583.280000,409.000000,961.000000,1870.000000,1910.000000,886.000000,1834.000000,1864.000000,3.000000,2.100000,0.000000,631.650000,3293.600000,29.790000,Prasat Bakong,Kampong Phluk,Siemreap,45839.876,104856312.171,10485.631,13.238000,103.9850,13.890,103.640
"1360",Battambang,"02","0204","020401",Bavel,Bavel,41681.993636,60193931.896900,6019.393190,1.000000,0.000000,0.000000,0.000000,0.000000,4.000000,9242.930000,195.000000,4662.000000,10225.000000,10354.000000,4930.000000,10626.000000,10805.000000,13.000000,847.280000,69.750000,0.000000,2906.480000,29.780000,Bavel,Bavel,Battambang,41681.994,60193931.897,6019.393,13.256000,102.8900,13.360,102.870
"1361",Siemreap,"17","1711","171106",Khchas,Soutr Nikom,39542.985434,54095563.797200,5409.556380,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3843.730000,11.000000,1626.000000,3611.000000,3643.000000,1582.000000,3492.000000,3596.000000,5.000000,308.040000,0.000000,50.890000,2345.960000,11.050000,Soutr Nikom,Khchas,Siemreap,39542.985,54095563.797,5409.556,13.257000,104.0610,13.890,103.640
"1364",Battambang,"02","0202","020208",Kouk Khmum,Thma Koul,34687.742048,53278154.728600,5327.815473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.250000,27.000000,3165.000000,7728.000000,7885.000000,3086.000000,6848.000000,7054.000000,8.000000,619.570000,0.000000,0.000000,1323.130000,49.740000,Thma Koul,Kouk Khmum,Battambang,34687.742,53278154.729,5327.815,13.254000,103.0640,13.360,102.870
"1365",Siemreap,"17","1709","170907",Mean Chey,Prasat Bakong,15964.732939,16862963.153900,1686.296315,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,202.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1052.990000,18.000000,Prasat Bakong,Mean Chey,Siemreap,15964.733,16862963.154,1686.296,13.299000,104.0010,13.890,103.640
"1366",Battambang,"02","0202","020209",Bansay Traeng,Thma Koul,36012.564008,59479973.284100,5947.997328,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,7.240000,10.000000,2742.000000,5948.000000,5864.000000,2624.000000,5888.000000,5966.000000,8.000000,529.510000,0.000000,0.000000,1329.780000,19.750000,Thma Koul,Bansay Traeng,Battambang,36012.564,59479973.284,5947.997,13.251000,103.0240,13.360,102.870
"1367",Battambang,"02","0204","020402",Khnach Romeas,Bavel,53890.589576,92883583.114100,9288.358311,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.070000,32.000000,1880.000000,4438.000000,4732.000000,2084.000000,4764.000000,5228.000000,6.000000,645.310000,0.000000,0.000000,2546.560000,31.960000,Bavel,Khnach Romeas,Battambang,53890.590,92883583.114,9288.358,13.224000,102.9370,13.360,102.870
"1368",Siemreap,"17","1711","171109",Samraong,Soutr Nikom,20630.537870,24183672.664300,2418.367266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4549.340000,0.000000,2331.000000,5068.000000,5345.000000,2124.000000,4838.000000,5153.000000,9.000000,283.020000,0.000000,0.000000,328.440000,0.000000,Soutr Nikom,Samraong,Siemreap,20630.538,24183672.664,2418.367,14.153000,103.6430,13.890,103.640
"1369",Siemreap,"17","1709","170909",Trapeang Thum,Prasat Bakong,22514.818563,28294054.665300,2829.405467,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,158.000000,411.000000,916.000000,914.000000,391.000000,900.000000,955.000000,2.000000,104.440000,0.000000,0.000000,1227.860000,34.260000,Prasat Bakong,Trapeang Thum,Siemreap,22514.819,28294054.665,2829.405,13.306000,104.0450,13.890,103.640
"1370",Siemreap,"17","1710","171009",Siem Reab,Siem Reab,25164.797465,32703317.061100,3270.331706,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3057.220000,258.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.850000,1483.880000,1.980000,Siem Reab,Siem Reab,Siemreap,25164.797,32703317.061,3270.332,13.299000,103.8420,13.890,103.640
